book_name,author,number_of_reviews,rating(5),publishing_house,year_of_publication,bookbinding,quantity_of_pages,language,quantity_of_ratings_5,quantity_of_ratings_4,quantity_of_ratings_3,quantity_of_ratings_2,quantity_of_ratings_1
"Хочу и буду. Принять себя, полюбить жизнь и стать счастливым", М. Лабковский,407,4.7,Эксмо,2019,мягкая обложка,320,Русский,360,19,9,5,14
Магия утра, Хэл Элрод,144,4.8,"Манн, Иванов и Фербер",2018,твердый переплет,240,Русский,129,5,5,3,2
Гравити Фолз. Дневник 3,,179,4.9,Эксмо,2016,суперобложка,288,Русский,171,4,1,0,3
"Ты — сама себе психолог. Отпусти прошлое, полюби настоящее, создай желаемое будущее", Е. Друма,5,5,Эксмо,2019,мягкая обложка,400,Русский,5,0,0,0,0
Честь, Э. Шафак,91,5,Азбука,2018,мягкая обложка,480,Русский,90,1,0,0,0
Радикальное прощение. Духовная технология для исцеления взаимоотношений, К. Типпинг,56,4.8,София,2019,твердый переплет,256,Русский,50,3,0,1,2
НИ СЫ. Будь уверен в своих силах и не позволяй сомнениям мешать тебе двигаться вперед, Д. Синсеро,32,4.6,Эксмо,2018,твердый переплет,320,Русский,25,3,3,1,0
Цветы для Элджернона, Д. Киз,216,4.8,Эксмо,2017,твердый переплет,320,Русский,198,12,1,1,4
Пробуждение женщины. 17 мудрых уроков счастья и любви, А. А. Некрасов,2,5,АСТ,2019,твердый переплет,256,Русский,2,0,0,0,0
Гордость и предубеждение, Д. Остин,210,4.9,Азбука,2018,твердый переплет,416,Русский,198,8,2,0,2
Мудрость женщины, Л. Хей,83,4.2,Эксмо,2016,мягкая обложка,240,Русский,61,1,6,4,11
В метре друг от друга (кинообложка)," Р. Липпинкотт, М. Дотри, Т. Иаконис",48,5,Freedom,2019,твердый переплет,368,Русский,47,1,0,0,0
"Сила подсознания, или Как изменить жизнь за 4 недели", Дж. Диспенза,60,4.7,Эксмо,2017,твердый переплет,480,Русский,53,2,0,4,1
Ты все равно будешь меня любить?, К. Леблан,13,4.2,Контэнт,2019,твердый переплет,32,Русский,10,0,1,0,2
Шантарам - 1. Комплект из 2-х книг, Г. Д. Робертс,130,4.7,Азбука,2013,мягкая обложка,1088,Русский,107,10,9,2,2
Материнская любовь, А. А. Некрасов,119,4.8,АСТ,2018,мягкая обложка,320,Русский,105,8,3,0,3
Важные годы. Почему не стоит откладывать жизнь на потом, Мэг Джей,100,4.8,"Манн, Иванов и Фербер",2018,твердый переплет,320,Русский,85,10,3,2,0
1984, Д. Оруэлл,57,4.6,АСТ,2013,мягкая обложка,320,Русский,45,6,3,1,2
Букварь, Н. С. Жукова,168,4.9,Эксмо,2016,твердый переплет,96,Русский,157,9,1,0,0
Гравити Фолз. Не раскрашивай эту книгу!,,39,5,Эксмо,2017,мягкая обложка,64,Русский,38,1,0,0,0
Большая детская 3D-энциклопедия обо всём на свете,,17,5,АСТ,2017,твердый переплет,384,Русский,17,0,0,0,0
"Не тупи. Только тот, кто ежедневно работает над собой, живет жизнью мечты", Д. Синсеро,5,5,Эксмо,2020,твердый переплет,208,Русский,5,0,0,0,0
